nombre_shp,nombre_capa,nombre_shp_l
Plantaciones_forestales_pequenosymedianos_RM,PLA_plantaciones_forestales_pequenosymedianos_rm,plantaciones_forestales_pequenosymedianos_rm
PRMS_Resguardo_Línea,PLA_prms_resguardo_linea,prms_resguardo_línea
PRMS_Resguardo_Polígono,PLA_prms_resguardo_poligono,prms_resguardo_polígono
PRMS_Riesgo,PLA_prms_riesgo,prms_riesgo
PRMS_Rural,PLA_prms_rural,prms_rural
PRMS_Uso_Suelo,PLA_prms_uso_suelo,prms_uso_suelo
RF_2011_2021_RM,PLA_rf_2011_2021_rm,rf_2011_2021_rm
VIVIENDAS_SOCIALES_RM,PLA_viviendas_sociales_rm,viviendas_sociales_rm
Zonas_No_Edificables,PLA_zonas_no_edificables,zonas_no_edificables
Zonas_Restriccion,PLA_zonas_restriccion,zonas_restriccion
Zonas_rezagadas,PLA_zonas_rezagadas,zonas_rezagadas
Zonificaciones_PRC_RM,PLA_zonificaciones_prc_rm,zonificaciones_prc_rm
Albergues_codigo_azul,RIE_albergues_codigo_azul,albergues_codigo_azul
Amenaza_incendio_forestal,RIE_amenaza_incendio_forestal,amenaza_incendio_forestal
arclim_dias_sobre_30,RIE_arclim_dias_sobre_30,arclim_dias_sobre_30
arclim_frecuencia_sequia,RIE_arclim_frecuencia_sequia,arclim_frecuencia_sequia
arclim_lluvia_maximadiaria_anual,RIE_arclim_lluvia_maximadiaria_anual,arclim_lluvia_maximadiaria_anual
arclim_nieve_acumulada_anual,RIE_arclim_nieve_acumulada_anual,arclim_nieve_acumulada_anual
arclim_precipitacion_acumulada,RIE_arclim_precipitacion_acumulada,arclim_precipitacion_acumulada
Areas_peligro_volcanico,RIE_areas_peligro_volcanico,areas_peligro_volcanico
BS11_SAIDI,RIE_bs11_saidi,bs11_saidi
Calor_extremo_salud,RIE_calor_extremo_salud,calor_extremo_salud
Declaraciones_de_Agotamiento,RIE_declaraciones_de_agotamiento,declaraciones_de_agotamiento
Decretos_Escasez_Hidrica_Mayo_2021,RIE_decretos_escasez_hidrica_mayo_2021,decretos_escasez_hidrica_mayo_2021
Depósito_de_residuos_peligrosos,RIE_deposito_de_residuos_peligrosos,depósito_de_residuos_peligrosos
Depositos_relaves,RIE_depositos_relaves,depositos_relaves
Distancia_crater_volcan,RIE_distancia_crater_volcan,distancia_crater_volcan
EA_201_Porcentaje_de_población_ubicada_en_zonas_con_mayor_recurrencia_de_incendios_forestales,RIE_ea_201_porcentaje_de_poblacion_ubicada_en_zonas_con_mayor_recurrencia_de_incendios_forestales,ea_201_porcentaje_de_población_ubicada_en_zonas_con_mayor_recurrencia_de_incendios_forestales
fallas_lara,RIE_fallas_lara,fallas_lara
Incendios_2002-2020,RIE_incendios_2002_2020,incendios_2002-2020
Inundaciones_desborde_colectores,RIE_inundaciones_desborde_colectores,inundaciones_desborde_colectores
Inundaciones_precipitacion_extrema,RIE_inundaciones_precipitacion_extrema,inundaciones_precipitacion_extrema
Perdida_flora,RIE_perdida_flora,perdida_flora
remocion_masa,RIE_remocion_masa,remocion_masa
saidi_19,RIE_saidi_19,saidi_19
Seg_hidrica_rural,RIE_seg_hidrica_rural,seg_hidrica_rural
Seg_hidrica_urbana,RIE_seg_hidrica_urbana,seg_hidrica_urbana
Volcanes_geologicamente_activos,RIE_volcanes_geologicamente_activos,volcanes_geologicamente_activos
accidentes_achs,SEG_accidentes_achs,accidentes_achs
camaras_cctv_uoct,SEG_camaras_cctv_uoct,camaras_cctv_uoct
cap_carga_bomberos,SEG_cap_carga_bomberos,cap_carga_bomberos
carceles,SEG_carceles,carceles
pasos_fronterizos,SEG_pasos_fronterizos,pasos_fronterizos
percepcion_delito,SEG_percepcion_delito,percepcion_delito
Plan_cuadrante,SEG_plan_cuadrante,plan_cuadrante
